State,Year,Month,Month_Num,Date,Month_Total,Group,Category,Total,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Mobile Canteen,7,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Private Service Vehicle,1,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Motor Cab,203,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Bus,11,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Educational Institution Bus,7,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Ambulance,52,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Cash Van,1,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Omni Bus,1,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Excavator (Commercial),2,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Trailer (Commercial),493,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Construction Equipment Vehicle (Commercial),1,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Maxi Cab,14,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-e-Rickshaw with Cart (G),2,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-e-Rickshaw(P),59,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Goods Carrier,999,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Motor Cycle/Scooter-Used For Hire,2,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Luxury Cab,6,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Three Wheeler (Passenger),296,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Three Wheeler (Goods),306,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Transport
3,277",-Tractor (Commercial),801,
Andhra Pradesh(84),2021,SEP,9,2021-09-01,67702,"Non Transport
49,482",-Camper Van / Trailer (Private Use),1,
Andhra Pradesh(84),2021,OCT,10,2021-10-01,107286,"Transport
5,726",-Fire Fighting Vehicle,1,
Andhra Pradesh(84),2021,NOV,11,2021-11-01,82601,"Transport
5,726",-Fire Fighting Vehicle,1,
Andhra Pradesh(84),2021,NOV,11,2021-11-01,82601,"Transport
5,726",-Articulated Vehicle,33,
Andhra Pradesh(84),2021,NOV,11,2021-11-01,82601,"Transport
5,726",-Three Wheeler (Goods),611,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Fire Tenders,1,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Articulated Vehicle,18,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Tractor (Commercial),970,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Mobile Canteen,1,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Private Service Vehicle,7,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Motor Cab,275,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Bus,20,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Educational Institution Bus,16,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Ambulance,11,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Cash Van,7,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Omni Bus,4,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Excavator (Commercial),9,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Trailer (Commercial),986,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Maxi Cab,41,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-e-Rickshaw with Cart (G),7,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-e-Rickshaw(P),1,
Andhra Pradesh(84),2022,2021,,,948491,"Transport
5,569",-Motor Cycle/Scooter-SideCar(T),3,
